UP,PLOT,P90,Elev P50,ARMFR,VTCC,BlocoA,BlocoB,N,NblocoA,NblocoB,Idade,AreaPlot,AreaBlocoB,propBlocoB,AreaBlocoA,propBlocoA
52I212,1,24,22.43,68.36,248.94,SP0581,52I212SP0581,10565,929,929,5.06,380.13,35.31,0.09,35.31,0.09
52I212,2,25.06,23.96,67.61,297.74,SP0581,52I212SP0581,10565,929,929,5.06,380.13,35.31,0.09,35.31,0.09
52I212,3,24.16,22.92,61.1,242.98,SP0581,52I212SP0581,10565,929,929,5.06,380.13,35.31,0.09,35.31,0.09
52I212,4,22.68,21.66,63.2,211.9,SP0581,52I212SP0581,10565,929,929,5.06,380.13,35.31,0.09,35.31,0.09
52I212,5,27.11,25.64,55.67,318.81,SP0007,52I212SP0007,10565,5756,1740,5.06,380.13,66.16,0.16,218.82,0.54
52I212,6,25.95,24.24,52.47,257.41,SP0007,52I212SP0007,10565,5756,1740,5.06,380.13,66.16,0.16,218.82,0.54
52I212,7,24.22,23.24,69.06,254.09,SP0581,52I212SP0581,10565,929,929,5.06,380.13,35.31,0.09,35.31,0.09
52I212,8,25.96,23.84,47.12,280.52,SP0007,52I212SP0007,10565,5756,1740,5.06,380.13,66.16,0.16,218.82,0.54
52I212,9,27.08,25.65,52.51,275.73,SP0007,52I212SP0007,10565,5756,1740,5.06,380.13,66.16,0.16,218.82,0.54
52I212,10,25.88,24.61,56.06,276.88,SP0007,52I212SP0007,10565,5756,1740,5.06,380.13,66.16,0.16,218.82,0.54
52I216,1,25.56,24.11,61.03,276.13,SP0617,52I216SP0617,10565,1688,1688,5.02,380.13,64.18,0.16,64.18,0.16
52I216,2,23.7,22.6,60.9,248.75,SP0617,52I216SP0617,10565,1688,1688,5.02,380.13,64.18,0.16,64.18,0.16
52I216,4,26.61,25.2,67.79,324.43,SP0617,52I216SP0617,10565,1688,1688,5.02,380.13,64.18,0.16,64.18,0.16
52I216,5,25.14,23.94,59.01,302.3,SP0617,52I216SP0617,10565,1688,1688,5.02,380.13,64.18,0.16,64.18,0.16
52I216,6,25.89,24.73,61.16,317.16,SP0617,52I216SP0617,10565,1688,1688,5.02,380.13,64.18,0.16,64.18,0.16
52I217,1,28.2,26.17,60.88,348.9,SP0007,52I217SP0007,10565,5756,1324,5.1,380.13,50.32,0.13,218.82,0.54
52I217,2,29.42,27.32,62.14,374.37,SP0007,52I217SP0007,10565,5756,1324,5.1,380.13,50.32,0.13,218.82,0.54
52I217,3,29.24,27.07,53.32,342.43,SP0007,52I217SP0007,10565,5756,1324,5.1,380.13,50.32,0.13,218.82,0.54
52I217,4,27.93,25.83,62.63,332.27,SP0007,52I217SP0007,10565,5756,1324,5.1,380.13,50.32,0.13,218.82,0.54
52I217,5,28.96,26.77,62.1,393.96,SP0007,52I217SP0007,10565,5756,1324,5.1,380.13,50.32,0.13,218.82,0.54
52I219,1,30.28,27.55,69.39,433.83,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,2,31.05,27.55,61.1,375.8,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,3,29.29,26.79,57.91,373.01,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,4,30.22,27.04,66,401.06,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,5,29.56,26.86,58.89,357.02,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,6,30.18,27.42,65.86,375.47,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I219,8,29.87,26.97,64.84,397.87,SP0791,52I219SP0791,10565,2192,2192,5.15,380.13,83.31,0.21,83.31,0.21
52I220,1,29.74,27.7,57.59,391.92,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,2,28.48,26.15,58.28,387.22,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,3,28.67,25.98,56.49,357.23,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,4,28.48,26.68,62.46,399.28,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,5,29.1,26.96,61.54,389.82,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,6,28.74,26.74,56.95,376.57,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,7,27.96,25.61,63.68,319.4,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,8,27.58,25.75,63.03,340.78,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,9,29.03,26.67,61.87,399.09,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
52I220,10,26.51,24.2,66.22,267.26,SP0007,52I220SP0007,10565,5756,2692,5.18,380.13,102.34,0.25,218.82,0.54
